longitude,latitude
-128.4143519,54.6072844
-128.4166723,54.6074
-128.4165403,54.6072682
-128.4164911,54.6072243
-128.4165686,54.6072228
-128.417735,54.6072536
-128.4164569,54.6071712
-128.4143676,54.6070241
-128.4163911,54.6071098
-128.4082119,54.6066432
-128.4162757,54.6069955
-128.4162415,54.6069424
-128.417533,54.6069886
-128.4161763,54.6068899
-128.4161266,54.6068371
-128.4161266,54.6068371
-128.4142394,54.606695
-128.4160748,54.6067485
-128.4160277,54.6067404
-128.4160277,54.6067404
-128.4173181,54.6067688
-128.415978,54.6066876
-128.4159123,54.6066262
-128.415847,54.6065737
-128.4158594,54.6065197
-128.4157632,54.6064678
-128.4171017,54.6065221
-128.4157129,54.606406
-128.4156632,54.6063532
-128.415598,54.6063007
-128.4156285,54.6062911
-128.4168863,54.6062932
-128.4166549,54.6060558
-128.4164074,54.6058097
-128.404311,54.9619561
-128.3942445,54.6027845
-128.3950674,54.6027864
-128.3835193,54.6020344
-128.3953742,54.6019288
-128.3899681,54.6016041
-128.3872057,54.6008242
-128.3842947,54.6004238
-128.3867277,54.5987539
-128.4025298,54.5979432
-128.3953669,54.5925347
-128.4096341,54.5891624
-128.3953617,54.5884742
-128.4011965,54.5881986
-128.3969796,54.5861567
-128.4072679,54.5861432
-128.4596622,54.5851294
-128.4259556,54.5786033
-128.4274108,54.5785476
-128.4239442,54.578177
-128.4249713,54.5782284
-128.4261529,54.5782678
-128.4272508,54.5776813
-128.4240417,54.5774669
-128.4223211,54.5772321
-128.4195647,54.5770624
-128.4267282,54.5775034
-128.4235181,54.5772711
-128.4220379,54.5771659
-128.4222972,54.5768291
-128.4246176,54.5767115
-128.427842,54.5769255
-128.427304,54.5767479
-128.4240934,54.5765068
-128.4251929,54.5759471
-128.4219669,54.5757062
-128.4278792,54.5759836
-128.4246842,54.5757421
-128.4285472,54.5759972
-128.4574075,54.5783439
-128.4257681,54.5751828
-128.4225903,54.5749678
-128.4283977,54.5753099
-128.4291229,54.5752418
-128.4252595,54.5749777
-128.4289179,54.5746632
-128.4263006,54.574482
-128.4229108,54.5740919
-128.4297777,54.5745117
-128.4258347,54.5742133
-128.4571675,54.5769324
-128.4295363,54.5741041
-128.4268635,54.5737716
-128.426341,54.5735937
-128.4237243,54.5734214
-128.430496,54.5738072
-128.430143,54.573348
-128.4270054,54.5730248
-128.4277647,54.5730098
-128.4243979,54.5727448
-128.4294346,54.5726539
-128.427806,54.5723994
-128.4562042,54.5748451
-128.4251751,54.5719854
-128.4287914,54.5720123
-128.4260308,54.5712423
-128.4281333,54.5713799
-128.4274907,54.5707473
-128.4583811,54.5720853
-128.6699882,54.6400033
-128.3384093,55.0000597
-128.4614459,54.5688772
-128.7649064,54.8038612
-128.76492,54.8081912
-128.7674368,54.7892265
-128.7660532,54.804203
-128.4651485,54.566992
-128.7668167,54.8073955
-128.7673543,54.8084145
-128.4610849,54.5659711
-128.659861,54.6267398
-128.4588135,54.5643135
-128.7699777,54.8088934
-128.7718781,54.7701645
-128.6601066,54.6257393
-128.657858,54.6243716
-128.6634474,54.627415
-128.7208039,54.6709199
-128.7737836,54.769754
-128.662274,54.6251454
-128.7155849,54.6628501
-128.661232,54.6232226
-128.7685655,54.733857
-128.6515084,54.6170232
-128.7735328,54.8184513
-128.6419141,54.6120576
-128.6443974,54.6132322
-128.4703476,54.5621541
-128.4709676,54.5618905
-128.6512859,54.6159881
-128.4716319,54.5615903
-128.6496955,54.6149377
-128.4724527,54.5613137
-128.6428498,54.6109168
-128.6495111,54.6140093
-128.4732991,54.560947
-128.7651154,54.7195271
-128.6415521,54.609582
-128.7669674,54.7220316
-128.6428656,54.60924
-128.6819249,54.6312618
-128.6510181,54.6128203
-128.6814067,54.6302332
-128.6842122,54.6320186
-128.6486962,54.6110237
-128.6512052,54.6118749
-128.6422855,54.6072353
-128.642876,54.6072405
-128.7635934,54.7085696
-128.684795,54.6302487
-128.4792039,54.5585686
-128.6841148,54.6288829
-128.6511945,54.6097952
-128.6422988,54.6052807
-128.6428893,54.6052859
-128.7782741,54.8341418
-128.3245281,55.0124935
-128.6891901,54.6309234
-128.6512643,54.6087179
-128.642386,54.6039878
-128.6397051,54.6026291
-128.6853511,54.6276007
-128.6511644,54.6078953
-128.7813395,54.8310154
-128.7020216,54.6383874
-128.782837,54.8298519
-128.6509907,54.6068949
-128.6474015,54.6049464
-128.6507933,54.6062448
-128.4682105,54.5539859
-128.7760282,54.848582
-128.6486903,54.6049455
-128.6479442,54.6039754
-128.6449925,54.6025151
-128.7840858,54.832352
-128.3141225,55.014266
-128.4723893,54.5533368
-128.7770264,54.8510699
-128.467255,54.552284
-128.3224196,55.0159212
-128.4704285,54.552453
-128.6932906,54.6280721
-128.472143,54.5525977
-128.473919,54.5527322
-128.7786581,54.850029
-128.6645931,54.6102129
-128.6645931,54.6102129
-128.7849635,54.8383211
-128.6645911,54.609944
-128.7791653,54.8510486
-128.6651617,54.6101199
-128.665169,54.6099942
-128.4678059,54.5511344
-128.7644414,54.6916953
-128.6643238,54.6091788
-128.7871869,54.8356709
-128.653118,54.6030657
-128.7809704,54.8500306
-128.6555503,54.6039364
-128.6538105,54.60297
-128.7799639,54.8531285
-128.6504083,54.6012685
-128.665386,54.6087971
-128.4722932,54.5507211
-128.7807141,54.8524481
-128.3314084,55.0189522
-128.6662682,54.6087511
-128.7817427,54.8517256
-128.6557103,54.6030543
-128.6649402,54.6076772
-128.4680969,54.5495329
-128.6583646,54.604234
-128.7868866,54.8417653
-128.7833027,54.8494132
-128.4688441,54.5495806
-128.3194827,55.0185846
-128.6650365,54.6074869
-128.6649388,54.6074173
-128.7795981,54.7103962
-128.6651766,54.6074928
-128.6578443,54.6036356
-128.6652489,54.6074105
-128.6647489,54.6071255
-128.666182,54.6076681
-128.3190823,55.0189865
-128.6660611,54.6074825
-128.6647577,54.6067847
-128.6658502,54.6073436
-128.6662519,54.6075501
-128.7870905,54.8435986
-128.6661167,54.6073827
-128.6656167,54.6070977
-128.6663069,54.6074413
-128.3188095,55.0191529
-128.6661873,54.6072736
-128.6660424,54.607196
-128.6663774,54.6073322
-128.6659228,54.6070283
-128.6662578,54.6071644
-128.666433,54.6072324
-128.6646797,54.6063022
-128.6650589,54.6064016
-128.314945,55.019046
-128.3184145,55.0193755
-128.6658289,54.6067793
-128.6647031,54.6061852
-128.6663271,54.6070374
-128.6660834,54.6068724
-128.6665173,54.607096
-128.6657599,54.6066732
-128.6647277,54.606086
-128.6647277,54.606086
-128.6659638,54.6067047
-128.4618915,54.5476768
-128.7929205,54.8318383
-128.792369,54.833357
-128.4678664,54.5482825
-128.4625264,54.547664
-128.3180503,55.0195884
-128.6657239,54.6063602
-128.4630225,54.547663
-128.784217,54.8520373
-128.6661727,54.6065746
-128.4907802,54.5512876
